Variable Name,Field Name,Log Types,PAN-OS Description,Mapping Type,ECS Field,ECS Type,ECS Description
referer,Referer,"Threat,URL Filtering,Data Filtering","Only for the URL Filtering subtype; all other types do not use this field.

The Referer field in the HTTP header contains the URL of the web page that linked the user to another web page; it is the source that redirected (referred) the user to the web page that is being requested.",=,http.request.referrer,keyword,The Referer HTTP header value.
reportid,Report ID,"Threat,URL Filtering,Data Filtering","Only for Data Filtering and WildFire subtype; all other types do not use this field.

Identifies the analysis request on the firewall, WildFire cloud, or the WildFire appliance.",,,,
sender,Sender,"Threat,URL Filtering,Data Filtering",Specifies the name of the sender of an email.,=,email.from.address,keyword,The sender's email address.
serial #,Serial Number,"Threat,URL Filtering,Data Filtering",Serial number of the firewall that generated the log.,,,,
start,Start Time,"Traffic,Tunnel Inspection,GTP",Time of session start.,=,event.start,date,`event.start` contains the date when the event started or when the activity was first observed.
subject,Subject,"Threat,URL Filtering,Data Filtering",Specifies the subject of an email.,=,email.subject,keyword,The subject of the email message.
thr_category,Threat Category,"Threat,URL Filtering,Data Filtering","Describes threat categories used to classify different types of threat signatures.

If a domain external dynamic list generated the log, domain-edl populates this field.",,,,
threatid,Threat ID,"Threat,URL Filtering,Data Filtering","Palo Alto Networks identifier for known and custom threats. It is a description string followed by a 64-bit numerical identifier in parentheses for some Subtypes:

8000 – 8099— scan detection

8500 – 8599— flood detection

9999— URL filtering log

10000 – 19999 —spyware phone home detection

20000 – 29999 —spyware download detection

30000 – 44999 —vulnerability exploit detection

52000 – 52999— filetype detection

60000 – 69999 —data filtering detection

If the Domain EDL field is populated, then this field is populated with the same value.

FM Dita Overlay for Notes Component

Threat ID ranges for virus detection, WildFire signature feed, and DNS C2 signatures used in previous releases have been replaced with permanent, globally unique IDs. Refer to the Threat/Content Type (subtype) and Threat Category (thr_category) field names to create updated reports, filter threat logs, and ACC activity.",,,,
url_category_list,URL Category List,"Threat,URL Filtering,Data Filtering",Lists the URL filtering categories that the firewall used to enforce policy.,,,,
url_idx,URL Index,"Threat,URL Filtering,Data Filtering","Used in URL Filtering and WildFire subtypes.

When an application uses TCP keepalives to keep a connection open for a length of time, all the log entries for that session have a single session ID. In such cases, when you have a single threat log (and session ID) that includes multiple URL entries, the url_idx is a counter that allows you to correlate the order of each log entry within the single session.

For example, to learn the URL of a file that the firewall forwarded to WildFire for analysis, locate the session ID and the url_idx from the WildFire Submissions log and search for the same session ID and url_idx in your URL filtering logs. The log entry that matches the session ID and url_idx will contain the URL of the file that was forwarded to WildFire.",,,,
xff,X-Forwarded-For,"Threat,URL Filtering,Data Filtering","Only for the URL Filtering subtype; all other types do not use this field.

The X-Forwarded-For field in the HTTP header contains the IP address of the user who requested the web page. It allows you to identify the IP address of the user, which is useful particularly if you have a proxy server on your network that replaces the user IP address with its own address in the source IP address field of the packet header.

FM Dita Overlay for Notes Component

Based on different appliance implementations, the XFF field may contain non-IP address values.",,,,
action_source,Action Source,"Traffic,Tunnel Inspection","Specifies whether the action taken to allow or block an application was defined in the application or in policy. The actions can be allow, deny, drop, reset- server, reset-client or reset-both for the session.",,,,
bytes,Bytes,"Traffic,Tunnel Inspection",Number of total bytes (transmit and receive) for the session.,=,network.bytes,long,Total bytes (client-to-server + server-to-client).
bytes_received,Bytes Received,"Traffic,Tunnel Inspection",Number of bytes in the server-to-client direction of the session.,=,destination.bytes,long,Number of bytes in server-to-client direction.
bytes_sent,Bytes Sent,"Traffic,Tunnel Inspection",Number of bytes in the client-to-server direction of the session.,=,source.bytes,long,Number of bytes in client-to-server direction.
chunks,SCTP Chunks,"Traffic,SCTP",Sum of SCTP chunks sent and received for an association.,,,,
chunks_received,SCTP Chunks Received,"Traffic,SCTP",Number of SCTP chunks received for an association.,,,,
chunks_sent,SCTP Chunks Sent,"Traffic,SCTP",Number of SCTP chunks sent for an association.,,,,
cmd,Command,"Config,Audit","Command performed by the Admin; values are add, clone, commit, delete, edit, move, rename, set.",,,,
datasourcename,Data Source Name,"User ID,IP Tag",User-ID source that sends the IP (Port)-User Mapping.,,,,
error,Error,"Decryption,GlobalProtect",A string showing the error that has occurred in the event.,=,error.message,match_only_text,Error message.
factorno,Factor Number,"Authentication,User ID","Indicates the use of primary authentication (1) or additional factors (2, 3).",,,,
ip,Source IP,"Authentication,User ID",Original session source IP address.,"=
=
=","source.address
source.ip
related.ip","keyword
ip
ip","Source network address.
IP address of the source.
All of the IPs seen on your event."
machinename,Machine Name,"GlobalProtect,HIP Match",The name of the user’s machine.,"=
=","host.hostname
related.hosts","keyword
keyword","Hostname of the host.
All the host identifiers seen on your event."
opaque,Description,"GlobalProtect,System",Additional information for any event that has occurred.,,,,
remote_user_id,Remote User ID,"Tunnel Inspection,GTP","IMSI identity of a remote user, and if available, one IMEI identity or one MSISDN identity.",,,,
remote_user_ip,Remote User IP,"Tunnel Inspection,GTP",IPv4 or IPv6 address of a remote user.,,,,
serialnumber,Serial Number,"GlobalProtect,HIP Match",The serial number of the user’s machine or device.,,,,
session_end_reason,Session End Reason,"Traffic,Tunnel Inspection","The reason a session terminated. If the termination had multiple causes, this field displays only the highest priority reason. The possible session end reason values are as follows, in order of priority (where the first is highest):

threat—The firewall detected a threat associated with a reset, drop, or block (IP address) action.

policy-deny—The session matched a security rule with a deny or drop action.

decrypt-cert-validation—The session terminated because you configured the firewall to block SSL forward proxy decryption or SSL inbound inspection when the session uses client authentication or when the session uses a server certificate with any of the following conditions: expired, untrusted issuer, unknown status, or status verification time-out. This session end reason also displays when the server certificate produces a fatal error alert of type bad_certificate, unsupported_certificate, certificate_revoked, access_denied, or no_certificate_RESERVED (SSLv3 only).

decrypt-unsupport-param—The session terminated because you configured the firewall to block SSL forward proxy decryption or SSL inbound inspection when the session uses an unsupported protocol version, cipher, or SSH algorithm. This session end reason is displays when the session produces a fatal error alert of type unsupported_extension, unexpected_message, or handshake_failure.

decrypt-error—The session terminated because you configured the firewall to block SSL forward proxy decryption or SSL inbound inspection when firewall resources or the hardware security module (HSM) were unavailable. This session end reason is also displayed when you configured the firewall to block SSL traffic that has SSL errors or that produced any fatal error alert other than those listed for the decrypt-cert-validation and decrypt-unsupport-param end reasons.

tcp-rst-from-client—The client sent a TCP reset to the server.

tcp-rst-from-server—The server sent a TCP reset to the client.

resources-unavailable—The session dropped because of a system resource limitation. For example, the session could have exceeded the number of out-of-order packets allowed per flow or the global out-of-order packet queue.

tcp-fin—Both hosts in the connection sent a TCP FIN message to close the session.",,,,
tag_name,Tag Name,"User ID,IP Tag",Name of the tag associated with the dynamic user group associated with the User Group the user is mapped to.,,,,
timeout,Time Out Threshold,"User ID,IP Tag",Timeout after which the IP/User Mappings are cleared.,,,,
tunnel_insp_rule,Tunnel Inspection Rule,"Tunnel Inspection,GTP",Name of the tunnel inspection rule matching the cleartext tunnel traffic.,,,,
user,User,"Authentication,User ID",End user being authenticated.,"=
=","user.name
related.user","keyword
keyword","Short name or login of the user.
All the user names or other user identifiers seen on the event."
admin,Admin,Config,Username of the Administrator performing the configuration,,,,
after-change-detail,After Change Detail,Config,"This field is in custom logs only; it is not in the default format.

It contains the full xpath after the configuration change.",,,,
ai_fwd_error,AI Forward Error,Traffic,Indicates whether an error was encountered during traffic forwarding by the AI engine.,,,,
ai_traffic,AI Traffic,Traffic,Indicates whether the network session is being processed by AI-driven security services.,,,,
apn,Access Point Name,GTP,Reference to a Packet Data Network Data Gateway (PGW)/ Gateway GPRS Support Node in a mobile network. Composed of a mandatory APN Network Identifier and an optional APN Operator Identifier.,,,,
area_code,Area Code,GTP,Area within a Public Land Mobile Network (PLMN).,,,,
assoc_end_reason,SCTP Association End Reason,SCTP,"Reason an association was terminated. If the termination had multiple causes, the highest priority reason is displayed. The possible session end reasons in descending priority are:

shutdown-from-endpoint (highest)—endpoint sends out SHUTDOWN

abort-from-endpoint—endpoint sends out ABORT

unknown (lowest)—the association aged out, or association termination reason is not covered by one of the previous reasons (for example, a clear session all command).",,,,
attempted_gateways,Attempted Gateways,GlobalProtect,"The fields that are collected for each gateway connection attempt with the gateway name, SSL response time, and priority (see Gateway Priority in a Multiple Gateway Configuration. Each field entry is separated by commas such as g82-gateway,12,3. Each gateway entry is separated by semicolons such as g83-gateway,10,2;g84-gateway,-1,1.",,,,
auth_method,Authentication Method,GlobalProtect,"A string showing the authentication type, such as LDAP, RADIUS, or SAML.",,,,
authid,Authentication ID,Authentication,Unique ID given across primary authentication and additional (multi factor) authentication.,,,,
authpolicy,Authentication Policy,Authentication,Policy invoked for authentication before allowing access to a protected resource.,,,,
authproto,Authentication Protocol,Authentication,"Indicates the authentication protocol used by the server. For example, PEAP with GTC.",,,,
before-change-detail,Before Change Detail,Config,"This field is in custom logs only; it is not in the default format.

It contains the full xpath before the configuration change.",,,,
beginport,Source Port,User ID,Source port utilized by the session.,,,,
cause_code,GTP Cause,GTP,GTP cause value in logs responses which contain an Information Element that provides information about acceptance or rejection of GTP requests by a network node.,,,,
cell_id,Cell ID,GTP,Base station within an area code.,,,,
cert_flags,Certificate Flags,Decryption,"The certificate flags can return seven values:

Session is resumed (b_resume_session)

Certificate (subject) common name is truncated (b_cert_cn_truncated)

Issuer common name is truncated (b_issuer_cn_truncated)

Root common name is truncated (b_root_cn_truncated)

Server Name Indication (SNI) is truncated (b_sni_truncated)

Certificate type, RSA or ECDSA (b_cert_type)

Unused (padding3)",,,,
cert_serial,Certificate Serial Number,Decryption,The unique identifier of the certificate (generated by the certificate issuer).,=,tls.server.x509.serial_number,keyword,Unique serial number issued by the certificate authority.
cert_size,Certificate Size,Decryption,The certificate key size.,,,,
cert_ver,Certificate Version,Decryption,"The certificate version (V1, V2, or V3).",,,,
chain_status,Chain Status,Decryption,"Whether the chain is trusted. Values are:

Uninspected

Untrusted

Trusted

Incomplete",,,,
client,Client,Config,Client used by the Administrator; values are Web and CLI,,,,
client_os,Client OS,GlobalProtect,"The client device’s OS type (for example, Windows or Linux).",=,host.os.name,keyword,"Operating system name, without the version."
client_os_ver,Client OS Version,GlobalProtect,The client device’s OS version.,=,host.os.version,keyword,Operating system version as a raw string.
client_ver,Client Version,GlobalProtect,The client’s GlobalProtect app version.,,,,
clienttype,Client Type,Authentication,Type of client used to complete authentication (such as authentication portal).,,,,
cn,Subject Common Name,Decryption,The domain name (the name of the server that the certificate protects).,=,tls.server.x509.subject.common_name,keyword,List of common names (CN) of subject.
cn_len,Common Name Length,Decryption,The length of the subject common name.,,,,
comment,Audit Comment,Config,The audit comment entered in a policy rule configuration change.,,,,
config_ver,Config Version,Decryption,The software version.,,,,
connect_method,Connect Method,GlobalProtect,"A string showing the how the GlobalProtect app connects to Gateway, (for example, on-demand or user-logon.",,,,
datasource,Data Source,User ID,Source from which mapping information is collected.,,,,
datasource_subtype,Data Source Subtype,IP Tag,The mechanism used to identify the IP address-to-username mappings within a data source.,,,,
datasource_type,Data Source Type,IP Tag,The source from which mapping information is collected.,,,,
datasourcetype,Data Source Type,User ID,Mechanism used to identify the IP/User mappings within a data source.,,,,
desc,Description,Authentication,Additional authentication information.,,,,
dg_id,Device Group,Config,The device group the firewall belongs to if managed by a Panorama™ management server.,,,,
diam_app_id,Diameter App ID,SCTP,The diameter application in the data chunk which triggered the event. Diameter Application ID is assigned by Internet Assigned Numbers Authority (IANA).,,,,
diam_avp_code,Diameter AVP Code,SCTP,The diameter AVP code in the data chunk which triggered the event.,,,,
diam_cmd_code,Diameter Command Code,SCTP,The diameter command code in the data chunk which triggered the event. Diameter Command Code is assigned by Internet Assigned Numbers Authority (IANA),,,,
dst_adv_dev_id,Destination Adv DevID,Traffic,The unique identifier for the endpoint receiving the session. This advanced ID provides highly precise device recognition for the security policy engine. It establishes a direct link between network traffic and the comprehensive Device-ID object used for enforcement.,,,,
ec_curve,Elliptic Curve,Decryption,The elliptic cryptography curve that the client and server negotiate and use for connections that use ECDHE cipher suites.,,,,
end_ip_adr,End User IP Address,GTP,IP address of a mobile subscriber allocated by a PGW/GGSN.,,,,
endport,Destination Port,User ID,Destination port utilized by the session.,,,,
err_index,Error Index,Decryption,"The type of error that occurred: Cipher, Resource, Resume, Version, Protocol, Certificate, Feature, or HSM.",,,,
error_code,Error Code,GlobalProtect,An integer associated with any errors that occurred.,=,error.code,keyword,Error code describing the error.
event,Event Type,Authentication,Result of the authentication attempt.,,,,
event_code,GTP Event Code,GTP,Event code describing the GTP event.,,,,
event_type,GTP Event Type,GTP,Defines event triggered by a GTP message when checks in GTP protection profile are applied to the GTP traffic. Also triggered by the start or end of a GTP session.,,,,
evidence,Evidence,Correlated Events,"A summary statement that indicates how many times the host has matched against the conditions defined in the correlation object. For example, Host visited known malware URl (19 times).",,,,
factorcompletiontime,Factor Completion Time,User ID,Time the authentication was completed.,,,,
factortype,Factor Type,User ID,Vendor used to authenticate a user when Multi Factor authentication is present.,,,,
fingerprint,Fingerprint,Decryption,A hash of the certificate in x509 binary format.,,,,
gateway,Gateway,GlobalProtect,The name of the gateway that is specified on the portal configuration.,,,,
gtp_interface,GTP Interface,GTP,3GPP interface from which a GTP message is received.,,,,
host,Host,Config,Hostname or IP address of the client machine,,,,
hs_stage_c2f,Stage for Client to Firewall,Decryption,"The stage of the TLS handshake from the client to the firewall, for example, Client Hello, Server Hello, Certificate, Client/Server key exchange, etc.",,,,
hs_stage_f2s,Stage for Firewall to Server,Decryption,The stage of the TLS handshake from the firewall to the server.,,,,
imei,Monitor Tag/IMEI,GTP,International Mobile Equipment Identity (IMEI) is a unique 15 or 16 digit number allocated to each mobile station equipment.,,,,
imsi,Tunnel ID/IMSI,GTP,International Mobile Subscriber Identity (IMSI) is a unique number allocated to each mobile subscriber in the GSM/UMTS/EPS system. IMSI shall consist of decimal digits (0 through 9) only and maximum number of digits allowed are 15.,,,,
issuer_cn,Issuer Subject Common Name,Decryption,The name of the organization that verified the certificate’s contents.,=,tls.server.x509.issuer.common_name,keyword,List of common name (CN) of issuing certificate authority.
issuer_len,Issuer Common Name Length,Decryption,The length of the issuer common name.,,,,
k8s_cluster_id,K8S Cluster ID,Traffic,The unique identifier of the Kubernetes cluster that is the source of the traffic. This ID establishes a link to the related Virtual Machine (VM) UUID.,,,,
link_change_count,App Flap Count,Traffic,Number of link flaps that occurred during the session.,,,,
link_switches,Link Switches,Traffic,"Contains up to four link flap entries, with each entry containing the link name, link tag, link type, physical interface, timestamp, bytes read, bytes written, link health, and link flap cause.",,,,
location,Location,GlobalProtect,A string showing the administrator-defined location of the GlobalProtect portal or gateway.,,,,
login_duration,Login Duration,GlobalProtect,"The length of time, in seconds, the user is connected to the GlobalProtect gateway from logging in to logging out.",,,,
mac,Device MAC Address,HIP Match,The MAC address of the user’s machine or device.,,,,
matchname,HIP,HIP Match,Name of the HIP object or profile.,,,,
matchtype,HIP Type,HIP Match,Whether the hip field represents a HIP object or a HIP profile.,,,,
max_encap,Maximum Encapsulation,Tunnel Inspection,Number of packets the firewall dropped because the packet exceeded the maximum number of encapsulation levels configured in the Tunnel Inspection policy rule (Drop packet if over maximum tunnel inspection level).,,,,
mcc,Serving Country MCC,GTP,Mobile country code of serving core network operator.,,,,
mnc,Serving Network MNC,GTP,Mobile network code of serving core network operator.,,,,
module,Module,System,"This field is valid only when the value of the Subtype field is general. It provides additional information about the sub-system generating the log; values are general, management, auth, ha, upgrade, chassis.",,,,
msg_type,GTP Message Type,GTP,Indicates the GTP message type.,,,,
msisdn,MSISDN,GTP,"Service identity associated with the mobile subscriber composed of a Country Code, National Destination Code and a Subscriber. Consists of decimal digits (0-9) only with a maximum of 15 digits.",,,,
normalize_user,Normalize User,Authentication,Normalized version of username being authenticated (such as appending a domain name to the username).,,,,
notafter,Certificate End Date,Decryption,The time the certificate expires (certificate becomes invalid after this time).,=,tls.server.x509.not_after,date,Time at which the certificate is no longer considered valid.
notbefore,Certificate Start Date,Decryption,The time the certificate became valid (certificate in invalid before this time).,=,tls.server.x509.not_before,date,Time at which the certificate is first considered valid.
object_id,Object ID,Correlated Events,Name of the object associated with the system event.,,,,
objectname,Object Name,Correlated Events,Name of the correlation object that was matched on.,,,,
offloaded,Offloaded,Traffic,Displays 1 if traffic flow has been offloaded or 0 if traffic flow was not offloaded.,,,,
op_code,Op Code,SCTP,"Identifies the operation code of application layer SS7 protocols, like MAP or CAP, in the data chunk which triggered the event.",,,,
origindatasource,Origin Data Source,User ID,Source where the User-ID mapping originated.,,,,
os,Operating System,HIP Match,The operating system installed on the user’s machine or device (or on the client system).,=,host.os.name,keyword,"Operating system name, without the version."
path,Configuration Path,Config,The path of the configuration command issued; up to 512 bytes in length,,,,
pdu_session_id,PDU Session ID,Tunnel Inspection,Session ID for the collection of L4 segments inside a tunnel.,,,,
policy_id,Policy ID,Traffic,Name of the SD-WAN policy.,,,,
policy_name,Policy Name,Decryption,The name of the Decryption policy associated with the session.,,,,
portal,Portal,GlobalProtect,The name of the GlobalProtect portal or gateway.,,,,
priority,Priority,GlobalProtect,"The priority order of the gateway that is based on highest (1), high (2), medium (3), low (4), or lowest (5) to which the GlobalProtect app can connect.",,,,
private_ip,Private IP,GlobalProtect,The private IP address for the user who initiated the session.,,,,
private_ipv6,Private IPv6,GlobalProtect,The private IPv6 address for the user who initiated the session.,,,,
proxy_type,Proxy Type,Decryption,"The Decryption proxy type, such as Forward for Forward Proxy, Inbound for Inbound Inspection, No Decrypt for undecrypted traffic, GlobalProtect, etc.",,,,
public_ip,Public IP,GlobalProtect,The public IP address for the user who initiated the session.,,,,
public_ipv6,Public IPv6,GlobalProtect,The public IPv6 address for the user who initiated the session.,,,,
rat,Radio Access Technology,GTP,"Type of technology used for radio access. For example, EUTRAN, WLAN, Virtual, HSPA Evolution, GAN and GERAN.",,,,
region,Region,Authentication,The geographical region where the traffic originates.,,,,
response_time,Response Time,GlobalProtect,The SSL response time of the selected gateway that is measured in milliseconds on the endpoint during tunnel setup.,,,,
result,Result,Config,"Result of the configuration action; values are Submitted, Succeeded, Failed, and Unauthorized",,,,
root_cn,Root Subject Common Name,Decryption,The name of the root certificate authority.,,,,
root_status,Root Status,Decryption,"The status of the root certificate, for example, trusted, untrusted, or uninspected.",,,,
rootcn_len,Root Common Name Length,Decryption,The length of the root common name.,,,,
sccp_calling_gt,SCCP Calling Party Global Title,SCTP,The Signaling Connection Control Part (SCCP) calling party global title (GT) in the data chunk which triggered the event.,,,,
sccp_calling_ssn,SCCP Calling Party SSN,SCTP,The Signaling Connection Control Part (SCCP) calling party subsystem number (SSN) in the data chunk which triggered the event.,,,,
sctp_cause_code,SCTP Cause Code,SCTP,Sent by an endpoint to specify reason for an error condition to other endpoint of same SCTP association.,,,,
sctp_chunk_type,SCTP Chunk Type,SCTP,"Describes the type of information contained in a chunk, such as control or data.",,,,
sctp_filter,SCTP Filter,SCTP,Name of the filter that the SCTP chunk matched.,,,,
sdwan_cluster,SD-WAN Cluster,Traffic,Name of the SD-WAN cluster.,,,,
sdwan_cluster_type,SD-WAN Cluster Type,Traffic,Type of cluster (mesh or hub-spoke).,,,,
sdwan_device_type,SD-WAN Device Type,Traffic,Type of device (hub or branch).,,,,
sdwan_site,SD-WAN Site,Traffic,Name of the SD-WAN site.,,,,
selection_type,Selection Type,GlobalProtect,"The connection method that is selected to connect to the gateway.

manual—The gateway to which you want the GlobalProtect app to manually connect.

preferred—The preferred gateway to which you want the GlobalProtect app to connect.

auto—Automatically connect to the Best Available gateway based on the priority assigned to the gateway and the response time.",,,,
serverprofile,Server Profile,Authentication,Authentication server used for authentication.,,,,
session_owner,Session Owner,Traffic,The original high availability (HA) peer session owner in an HA cluster from which the session table data was synchronized upon HA failover.,,,,
sessions_closed,Sessions Closed,Tunnel Inspection,Number of completed/closed sessions created.,,,,
sessions_created,Sessions Created,Tunnel Inspection,Number of inner sessions created.,,,,
sni,Server Name Indication,Decryption,The hostname of the server that the client is trying to contact. Using SNIs enables a server to host multiple websites and present multiple certificates on the same IP address and TCP port because each website has a unique SNI.,=,tls.client.server_name,keyword,Hostname the client is trying to connect to. Also called the SNI.
sni_len,SNI Length,Decryption,The length of the Server Name Indication (hostname).,,,,
src_adv_dev_id,Source Adv DevID,Traffic,The unique identifier for the endpoint initiating the session. This advanced ID provides highly precise device recognition for the security policy engine. It establishes a direct link between network traffic and the comprehensive Device-ID object used for enforcement.,,,,
srcipv6,IPv6 Source Address,HIP Match,IPv6 address of the user’s machine or device.,"=
=
=
->","source.address
source.ip
related.ip
network.community_id","keyword
ip
ip
keyword","Source network address.
IP address of the source.
All of the IPs seen on your event.
A hash of source and destination IPs and ports."
srcregion,Source Region,GlobalProtect,The region for the user who initiated the session.,=,source.geo.region_name,keyword,Region name.
stage,Stage,GlobalProtect,"A string showing the stage of the connection (for example, before-login, login, or tunnel).",,,,
status,Status,GlobalProtect,The status (success or failure) of the event.,,,,
stream_id,SCTP Stream ID,SCTP,ID of the stream which carries the data chunk which triggered the event.,,,,
strict_check,Strict Check,Tunnel Inspection,"Number of packets the firewall dropped because the tunnel protocol header in the packet failed to comply with the RFC for the tunnel protocol, as enabled in the Tunnel Inspection policy rule (Drop packet if tunnel protocol fails strict header check).",,,,
tcp_retransit_cnt_c2s,,Traffic,,,,,
tcp_retransit_cnt_s2c,,Traffic,,,,,
tcp_rtt_c2s,,Traffic,,,,,
tcp_rtt_s2c,,Traffic,,,,,
tcp_zero_window_cnt_c2s,,Traffic,,,,,
tcp_zero_window_cnt_s2c,,Traffic,,,,,
teid1,Tunnel Endpoint Identifier1,GTP,Identifies the GTP tunnel in the network node. TEID1 is the first TEID in the GTP message.,,,,
teid2,Tunnel Endpoint Identifier2,GTP,Identifies the GTP tunnel in the network node. TEID2 is the second TEID in the GTP message.,,,,
time_received,Time Logged,Decryption,The time the log was received.,,,,
tls_auth,Hash Algorithm,Decryption,"The authentication algorithm used for the session, for example, SHA, SHA256, SHA384, etc.",,,,
tls_enc,Encryption Algorithm,Decryption,"The algorithm used to encrypt the session data, such as AES-128-CBC, AES-256-GCM, etc.",=,tls.cipher,keyword,String indicating the cipher used during the current connection.
tls_keyxchg,Key Exchange Algorithm,Decryption,The key exchange algorithm used for the session.,,,,
tls_version,TLS Version,Decryption,The version of TLS protocol used for the session.,=,tls.version,keyword,Numeric part of the version parsed from the original string.
total_n_ooseq_c2s,,Traffic,,,,,
total_n_ooseq_s2c,,Traffic,,,,,
tunnel_fragment,Tunnel Fragment,Tunnel Inspection,Number of packets the firewall dropped because of fragmentation errors.,,,,
tunnel_type,Tunnel Type,GlobalProtect,The type of tunnel (either SSLVPN or IPSec).,,,,
ugflags,User Group Flags,User ID,"Displays whether the user group that was found during user group mapping. Supported values are:

User Group Found—Indicates whether the user could be mapped to a group.

Duplicate User—Indicates whether duplicate users were found in a user group. Displays N/A if no user group is found.",,,,
unknown_proto,Unknown Protocol,Tunnel Inspection,"Number of packets the firewall dropped because the packet contains an unknown protocol, as enabled in the Tunnel Inspection policy rule (Drop packet if unknown protocol inside tunnel).",,,,
userbysource,User by Source,User ID,Indicates the username received from the source through IP address-to-username mapping.,,,,
vendor,Vendor,Authentication,Vendor providing additional factor authentication.,,,,
verif_tag_1,SCTP Verification Tag 1,SCTP,Used by endpoint1 which initiates the association to verify if the SCTP packet received belongs to current SCTP association and validate the endpoint2.,,,,
verif_tag_2,SCTP Verification Tag 2,SCTP,Used by endpoint2 to verify if the SCTP packet received belongs to current SCTP association and validate the endpoint1.,,,,
